Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
Lava Beds NM,LABE1,IMPAER,US,CA,06093,060930005,41.7117,-121.5068,1459,03/29/2000,02/27/2020,NA,Unknown,NA,NA,NPS,IMPROVE,1
Lawrenceville,PITT1,IMPAER,US,PA,42003,420030008,40.4654,-79.9607,268,03/01/2004,02/27/2020,NA,NA,NA,NA,STN,IMPROVE,1
Linville Gorge,LIGO1,IMPAER,US,NC,37011,370110002,35.9723,-81.9331,968,04/01/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Livonia,LIVO1,IMPAER,US,IN,18175,181759000,38.5346,-86.2604,281,03/08/2001,12/31/2010,NA,Unknown,NA,NA,EPA,IMPROVE,1
Londonderry,LOND1,IMPAER,US,NH,NA,NA,42.8624,-71.3801,124,01/03/2011,02/27/2020,NA,NA,NA,NA,State of New Hampshire,IMPROVE,1
Lone Peak Wilderness,LOPE1,IMPAER,US,UT,49049,490499000,40.4449,-111.7081,1768,12/01/1993,08/29/2001,NA,Unknown,NA,"Timpanogos Cave, NM",NA,IMPROVE,1
Lostwood,LOST1,IMPAER,US,ND,38013,380130004,48.6419,-102.4022,696,12/15/1999,02/27/2020,NA,Unknown,NA,Refuge Headquarters,FWS,IMPROVE,1
Lye Brook Wilderness,LYBR1,IMPAER,US,VT,50003,500038001,43.1482,-73.1268,1015,09/04/1991,09/30/2012,NA,Unknown,NA,"Mount Equinox, at the windmills, Manchester, VT",USFS,IMPROVE,1
Lye Brook Wilderness,LYEB1,IMPAER,US,VT,50025,500258001,42.9561,-72.9098,882,01/01/2012,02/27/2020,NA,Unknown,NA,"Mount Equinox, at the windmills, Manchester, VT",USFS,IMPROVE,1
Lynden,LYND1,IMPAER,US,WA,53073,530730020,48.9533,-122.5586,28,10/16/1996,12/29/1999,NA,Unknown,NA,FCC Monitoring Station W of Lyndon,NA,IMPROVE,1
M.K. Goddard,MKGO1,IMPAER,US,PA,42085,420859000,41.4269,-80.1453,379,04/04/2001,12/31/2010,NA,Unknown,NA,NA,EPA,IMPROVE,1
Makah Tribe,MAKA1,IMPAER,US,WA,NA,NA,48.37185,-124.595,-999,09/02/2006,10/29/2010,NA,NA,NA,NA,NA,IMPROVE,1
Makah Tribe Site #2,MAKA2,IMPAER,US,WA,NA,NA,48.29782,-124.62488,480,11/01/2010,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Mammoth Cave NP,MACA1,IMPAER,US,KY,21061,210619000,37.1318,-86.1479,235,09/04/1991,02/27/2020,NA,Unknown,NA,Houchin Meadow ozone site off Alfred Cook Road,NPS,IMPROVE,2
Martha's Vineyard,MAVI1,IMPAER,US,MA,25007,250070001,41.3309,-70.7846,2,12/01/2002,02/27/2020,NA,Unknown,NA,NA,TRIBE,IMPROVE,1
Meadview,MEAD1,IMPAER,US,AZ,04015,040159000,36.0193,-114.0684,902,09/04/1991,02/27/2020,NA,Unknown,NA,MOHAVE: DRI Trailer,STATE,IMPROVE,1
Medicine Lake,MELA1,IMPAER,US,MT,30091,300919000,48.4871,-104.4757,606,12/15/1999,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,2
Mesa Verde NP,MEVE1,IMPAER,US,CO,08083,080839000,37.1984,-108.4907,2172,03/02/1988,02/27/2020,NA,Unknown,NA,"Resource  Management Research Area, Chapin Mesa",NPS,IMPROVE,2
Mingo,MING1,IMPAER,US,MO,29207,292070001,36.9717,-90.1432,111,06/03/2000,02/27/2020,NA,Unknown,NA,NA,FWS,IMPROVE,1
